2024-11-20 14:10:16,21,13
2024-11-20 14:10:21,27,9
2024-11-20 14:10:26,25,6
2024-11-20 14:10:42,28,5
2024-11-20 14:10:47,28,10
2024-11-20 14:10:52,21,2
2024-11-20 14:19:41,10,3
2024-11-20 14:19:46,28,2
2024-11-20 14:19:51,23,8
2024-11-20 14:19:56,18,14
2024-11-20 14:20:01,20,10
2024-11-20 14:20:06,26,3
2024-11-20 14:20:11,14,7
2024-11-20 14:20:16,13,11
2024-11-20 14:20:21,14,13
2024-11-20 14:20:26,15,9
2024-11-20 14:20:31,12,13
2024-11-20 14:20:36,13,13
2024-11-20 14:20:41,17,8
2024-11-20 14:20:46,10,5
2024-11-20 14:20:51,11,12
2024-11-20 14:20:56,19,4
2024-11-20 14:21:01,10,6
2024-11-20 14:21:06,21,7
2024-11-20 14:21:11,23,12
2024-11-20 14:21:16,17,1
2024-11-20 14:21:21,26,11
2024-11-20 14:21:26,22,4
2024-11-20 14:21:35,11,0
2024-11-20 14:21:40,20,5
2024-11-20 14:21:45,15,3
2024-11-20 14:21:50,23,12
2024-11-20 14:21:55,13,3
2024-11-20 14:22:29,28,10
2024-11-20 14:22:34,15,5
2024-11-20 14:22:56,18,6
2024-11-20 14:23:01,11,3
2024-11-20 14:23:06,27,13
2024-11-20 14:23:18,15,5
2024-11-20 14:23:23,25,6
2024-11-20 14:23:28,25,10
2024-11-20 14:23:33,25,6
