Timestamp,Temperature (C),Humidity (%),Pressure (hPa)
2024-11-27 14:07:58,16.53,73.05,1016.33
2024-11-27 14:08:03,16.46,73.34,1016.34
2024-11-27 14:08:08,16.6,72.92,1016.37
2024-11-27 14:08:13,16.58,73.58,1016.37
2024-11-27 14:08:18,16.55,72.77,1016.33
2024-11-27 14:08:23,16.58,72.94,1016.31
2024-11-27 14:08:28,16.58,73.51,1016.29
2024-11-27 14:08:33,16.62,72.86,1016.3
2024-11-27 14:08:38,16.6,72.95,1016.29
2024-11-27 14:08:43,16.58,73.33,1016.31
2024-11-27 14:08:48,16.67,73.28,1016.34
2024-11-27 14:08:53,16.74,73.09,1016.31
2024-11-27 14:08:58,16.83,73.21,1016.31
2024-11-27 14:09:03,16.71,74.6,1016.33
2024-11-27 14:09:08,16.78,73.33,1016.34
2024-11-27 14:09:13,16.64,73.6,1016.34
2024-11-27 14:09:18,16.71,73.55,1016.35
2024-11-27 14:09:23,16.87,73.21,1016.36
2024-11-27 14:09:28,16.83,73.84,1016.34
2024-11-27 14:09:33,16.74,73.09,1016.35
2024-11-27 14:09:38,16.78,73.09,1016.32
2024-11-27 14:09:43,16.87,73.55,1016.37
2024-11-27 14:09:48,16.78,73.24,1016.38
2024-11-27 14:09:53,16.9,72.97,1016.36
2024-11-27 14:09:58,17.01,72.98,1016.38
2024-11-27 14:10:03,16.92,72.97,1016.36
2024-11-27 14:10:08,16.96,73.22,1016.36
2024-11-27 14:10:13,16.87,73.02,1016.35
2024-11-27 14:10:18,17.03,72.16,1016.38
2024-11-27 14:10:23,16.96,72.98,1016.37
2024-11-27 14:10:28,17.08,72.81,1016.36
